GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
REGULATION OF TRANSLATION, NCRNA-MEDIATED%GOBP%GO:0045974	7	4	0.341
POSITIVE REGULATION OF B CELL DIFFERENTIATION%GOBP%GO:0045579	7	4	0.341
CELLULAR RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035457	7	4	0.341
EPITHELIAL CELL FATE COMMITMENT%GOBP%GO:0072148	7	4	0.341
NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0009125	7	4	0.341
POTASSIUM ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:1990573	7	4	0.341
TRNA AMINOACYLATION FOR MITOCHONDRIAL PROTEIN TRANSLATION%GOBP%GO:0070127	7	4	0.341
EOSINOPHIL MIGRATION%GOBP%GO:0072677	7	4	0.341
ETHANOL OXIDATION%GOBP%GO:0006069	7	4	0.341
POSITIVE REGULATION OF DENDRITIC CELL CHEMOTAXIS%GOBP%GO:2000510	7	4	0.341
NEGATIVE REGULATION OF GLIAL CELL APOPTOTIC PROCESS%GOBP%GO:0034351	7	4	0.341
CEREBRAL CORTEX RADIALLY ORIENTED CELL MIGRATION%GOBP%GO:0021799	7	4	0.341
VASODILATION%GOBP%GO:0042311	7	4	0.341
REGULATION OF CARDIAC MUSCLE CELL ACTION POTENTIAL INVOLVED IN REGULATION OF CONTRACTION%GOBP%GO:0098909	7	4	0.341
TYPE 2 IMMUNE RESPONSE%GOBP%GO:0042092	7	4	0.341
REGULATION OF MYOSIN-LIGHT-CHAIN-PHOSPHATASE ACTIVITY%GOBP%GO:0035507	7	4	0.341
POSITIVE REGULATION OF PHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0071073	7	4	0.341
URONIC ACID METABOLIC PROCESS%GOBP%GO:0006063	7	4	0.341
EOSINOPHIL CHEMOTAXIS%GOBP%GO:0048245	7	4	0.341
PYRIMIDINE RIBONUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0046131	7	4	0.341
G-PROTEIN COUPLED GLUTAMATE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007216	7	4	0.341
NEGATIVE REGULATION OF NEURON PROJECTION REGENERATION%GOBP%GO:0070571	7	4	0.341
DEFENSE RESPONSE TO FUNGUS%GOBP%GO:0050832	7	4	0.341
POSITIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045842	7	4	0.341
NEGATIVE REGULATION OF T CELL APOPTOTIC PROCESS%GOBP%GO:0070233	7	4	0.341
CELLULAR RESPONSE TO PLATELET-DERIVED GROWTH FACTOR STIMULUS%GOBP%GO:0036120	7	4	0.341
PROTEIN TRANSPORT WITHIN LIPID BILAYER%GOBP%GO:0032594	7	4	0.341
POSITIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:1901970	7	4	0.341
METANEPHRIC NEPHRON TUBULE DEVELOPMENT%GOBP%GO:0072234	7	4	0.341
PHOSPHOLIPID EFFLUX%GOBP%GO:0033700	7	4	0.341
POSITIVE REGULATION OF CELL MIGRATION BY VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY%GOBP%GO:0038089	7	4	0.341
CELLULAR RESPONSE TO REACTIVE NITROGEN SPECIES%GOBP%GO:1902170	7	4	0.341
INOSITOL METABOLIC PROCESS%GOBP%GO:0006020	7	4	0.341
NEGATIVE REGULATION OF TRANSLATION, NCRNA-MEDIATED%GOBP%GO:0040033	7	4	0.341
ENDOCHONDRAL OSSIFICATION%GOBP%GO:0001958	7	4	0.341
METANEPHRIC TUBULE DEVELOPMENT%GOBP%GO:0072170	7	4	0.341
PROTEIN OXIDATION%GOBP%GO:0018158	7	4	0.341
STRESS-INDUCED PREMATURE SENESCENCE%GOBP%GO:0090400	7	4	0.341
REGULATION OF CARDIAC MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:0010665	7	4	0.341
REGULATION OF HIGH VOLTAGE-GATED CALCIUM CHANNEL ACTIVITY%GOBP%GO:1901841	7	4	0.341
REGULATION OF GLIAL CELL APOPTOTIC PROCESS%GOBP%GO:0034350	7	4	0.341
REGULATION OF LIPOPROTEIN METABOLIC PROCESS%GOBP%GO:0050746	7	4	0.341
RIBOSOMAL LARGE SUBUNIT EXPORT FROM NUCLEUS%GOBP%GO:0000055	7	4	0.341
POSITIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902101	7	4	0.341
TRIPARTITE REGIONAL SUBDIVISION%GOBP%GO:0007351	7	4	0.341
REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:1905459	7	4	0.341
EXTRACELLULAR REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:1900115	7	4	0.341
ENTEROENDOCRINE CELL DIFFERENTIATION%GOBP%GO:0035883	7	4	0.341
MEMBRANE RAFT DISTRIBUTION%GOBP%GO:0031580	7	4	0.341
SA NODE CELL TO ATRIAL CARDIAC MUSCLE CELL SIGNALING%GOBP%GO:0086018	7	4	0.341
METANEPHRIC NEPHRON EPITHELIUM DEVELOPMENT%GOBP%GO:0072243	7	4	0.341
GLUCURONATE METABOLIC PROCESS%GOBP%GO:0019585	7	4	0.341
VENTRICULAR CARDIAC MUSCLE CELL MEMBRANE REPOLARIZATION%GOBP%GO:0099625	7	4	0.341
T-HELPER 1 TYPE IMMUNE RESPONSE%GOBP%GO:0042088	7	4	0.341
MEMBRANE RAFT POLARIZATION%GOBP%GO:0001766	7	4	0.341
MAINTENANCE OF ORGANELLE LOCATION%GOBP%GO:0051657	7	4	0.341
POSITIVE REGULATION OF CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0062043	7	4	0.341
GAS HOMEOSTASIS%GOBP%GO:0033483	7	4	0.341
ANTERIOR/POSTERIOR AXIS SPECIFICATION, EMBRYO%GOBP%GO:0008595	7	4	0.341
REGULATION OF TRANSCRIPTION INVOLVED IN CELL FATE COMMITMENT%GOBP%GO:0060850	7	4	0.341
POSITIVE REGULATION OF IRE1-MEDIATED UNFOLDED PROTEIN RESPONSE%GOBP%GO:1903896	7	4	0.341
POSITIVE REGULATION OF HORMONE BIOSYNTHETIC PROCESS%GOBP%GO:0046886	7	4	0.341
CARDIAC MYOFIBRIL ASSEMBLY%GOBP%GO:0055003	7	4	0.341
NEGATIVE REGULATION OF CILIUM ASSEMBLY%GOBP%GO:1902018	7	4	0.341
POSITIVE REGULATION OF VASCULOGENESIS%GOBP%GO:2001214	7	4	0.341
PERICARDIUM DEVELOPMENT%GOBP%GO:0060039	7	4	0.341
RESPONSE TO ANTIMETABOLITE%GOBP%GO:0097329	7	4	0.341
REGULATION OF DNA ENDOREDUPLICATION%GOBP%GO:0032875	7	4	0.341
PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035357	7	4	0.341
LEPTIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0033210	7	4	0.341
EXTRACELLULAR VESICLE BIOGENESIS%GOBP%GO:0140112	7	4	0.341
EXTRACELLULAR NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:1900116	7	4	0.341
POSITIVE REGULATION OF MACROPHAGE CHEMOTAXIS%GOBP%GO:0010759	7	4	0.341
POSITIVE REGULATION OF RESPONSE TO TUMOR CELL%GOBP%GO:0002836	7	4	0.341
INDUCTION OF POSITIVE CHEMOTAXIS%GOBP%GO:0050930	7	4	0.341
LYSOSOMAL LUMEN ACIDIFICATION%GOBP%GO:0007042	7	4	0.341
CELLULAR RESPONSE TO NITRIC OXIDE%GOBP%GO:0071732	7	4	0.341
CELLULAR RESPONSE TO LAMINAR FLUID SHEAR STRESS%GOBP%GO:0071499	7	4	0.341
POSITIVE REGULATION OF IMMUNE RESPONSE TO TUMOR CELL%GOBP%GO:0002839	7	4	0.341
NEGATIVE REGULATION OF PROTEIN HOMOOLIGOMERIZATION%GOBP%GO:0032463	7	4	0.341
PURINE RIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0009169	7	4	0.341
BIOCARTA_NDKDYNAMIN_PATHWAY%MSIGDB_C2%BIOCARTA_NDKDYNAMIN_PATHWAY	18	9	0.342
RHO GTPASES ACTIVATE ROCKS%REACTOME%R-HSA-5627117.2	18	9	0.342
SHC1 EVENTS IN ERBB2 SIGNALING%REACTOME%R-HSA-1250196.4	18	9	0.342
CYTOSOLIC SULFONATION OF SMALL MOLECULES%REACTOME%R-HSA-156584.3	18	9	0.342
PHASE 2 - PLATEAU PHASE%REACTOME%R-HSA-5576893.1	18	9	0.342
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM%GOBP%GO:0010880	18	9	0.342
MELANOSOME LOCALIZATION%GOBP%GO:0032400	18	9	0.342
DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009264	18	9	0.342
SYNAPTIC VESICLE ENDOCYTOSIS%GOBP%GO:0048488	18	9	0.342
PIGMENT GRANULE LOCALIZATION%GOBP%GO:0051875	18	9	0.342
NEGATIVE REGULATION OF FIBROBLAST PROLIFERATION%GOBP%GO:0048147	18	9	0.342
NEGATIVE REGULATION OF STRIATED MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0045843	18	9	0.342
SPINAL CORD DEVELOPMENT%GOBP%GO:0021510	18	9	0.342
TELOMERE MAINTENANCE VIA TELOMERASE%GOBP%GO:0007004	18	9	0.342
NEGATIVE REGULATION OF MUSCLE TISSUE DEVELOPMENT%GOBP%GO:1901862	18	9	0.342
POSITIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:1901381	18	9	0.342
REGULATION OF RECEPTOR BIOSYNTHETIC PROCESS%GOBP%GO:0010869	18	9	0.342
ESTABLISHMENT OF MITOTIC SPINDLE LOCALIZATION%GOBP%GO:0040001	18	9	0.342
TETRAPYRROLE BIOSYNTHETIC PROCESS%GOBP%GO:0033014	18	9	0.342
NEGATIVE REGULATION OF DNA-DEPENDENT DNA REPLICATION%GOBP%GO:2000104	18	9	0.342
SOMITE DEVELOPMENT%GOBP%GO:0061053	18	9	0.342
NEGATIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046639	18	9	0.342
NEUTRAL AMINO ACID TRANSPORT%GOBP%GO:0015804	18	9	0.342
PID_ENDOTHELIN_PATHWAY%MSIGDB_C2%PID_ENDOTHELIN_PATHWAY	61	28	0.344
ENDOTHELINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOTHELINS	61	28	0.344
PID_RAC1_REG_PATHWAY%MSIGDB_C2%PID_RAC1_REG_PATHWAY	36	17	0.344
REGULATION OF RAC1 ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RAC1 ACTIVITY	36	17	0.344
ASSOCIATION OF TRIC CCT WITH TARGET PROTEINS DURING BIOSYNTHESIS%REACTOME%R-HSA-390471.1	36	17	0.344
EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050673	36	17	0.344
MEMBRANE INVAGINATION%GOBP%GO:0010324	36	17	0.344
POSITIVE REGULATION OF ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0034767	77	35	0.345
ALPHA-SYNUCLEIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA-SYNUCLEIN SIGNALING	27	13	0.345
AMINO ACID TRANSPORT ACROSS THE PLASMA MEMBRANE%REACTOME%R-HSA-352230.3	27	13	0.345
PLATELET AGGREGATION (PLUG FORMATION)%REACTOME DATABASE ID RELEASE 65%76009	27	13	0.345
REGULATION OF T CELL MIGRATION%GOBP%GO:2000404	27	13	0.345
PROTEIN TRIMERIZATION%GOBP%GO:0070206	27	13	0.345
ESTABLISHMENT OF ENDOTHELIAL BARRIER%GOBP%GO:0061028	27	13	0.345
POSITIVE REGULATION OF CALCIUM-MEDIATED SIGNALING%GOBP%GO:0050850	27	13	0.345
GLYCOSYL COMPOUND CATABOLIC PROCESS%GOBP%GO:1901658	27	13	0.345
FC EPSILON RECEPTOR (FCERI) SIGNALING%REACTOME DATABASE ID RELEASE 65%2454202	123	55	0.347
CELLULAR DIVALENT INORGANIC CATION HOMEOSTASIS%GOBP%GO:0072503	220	97	0.348
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901990	271	119	0.349
POSITIVE REGULATION OF LEUKOCYTE MIGRATION%GOBP%GO:0002687	84	38	0.349
PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777	160	71	0.35
OPIOID SIGNALLING%REACTOME DATABASE ID RELEASE 65%111885	68	31	0.35
ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	68	31	0.35
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 65%8878159	91	41	0.353
REGULATION OF CATION CHANNEL ACTIVITY%GOBP%GO:2001257	91	41	0.353
NOTCH-MEDIATED HES HEY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH-MEDIATED HES HEY NETWORK	43	20	0.354
STEM CELL POPULATION MAINTENANCE%GOBP%GO:0019827	43	20	0.354
NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0034655	320	140	0.355
NEURON PROJECTION GUIDANCE%GOBP%GO:0097485	121	54	0.356
AXON GUIDANCE%GOBP%GO:0007411	121	54	0.356
PID_TRKR_PATHWAY%MSIGDB_C2%PID_TRKR_PATHWAY	59	27	0.356
CELL CYCLE, MITOTIC%REACTOME%R-HSA-69278.2	448	195	0.357
NEGATIVE REGULATION OF PROTEIN TRANSPORT%GOBP%GO:0051224	98	44	0.357
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901991	128	57	0.359
BIOCARTA_INTEGRIN_PATHWAY%MSIGDB_C2%BIOCARTA_INTEGRIN_PATHWAY	34	16	0.359
GMCSF-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GMCSF-MEDIATED SIGNALING EVENTS	34	16	0.359
DETECTION OF EXTERNAL STIMULUS%GOBP%GO:0009581	34	16	0.359
POSITIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0042531	34	16	0.359
REGULATION OF RESPONSE TO DRUG%GOBP%GO:2001023	34	16	0.359
NEGATIVE REGULATION OF CALCIUM ION TRANSPORT%GOBP%GO:0051926	34	16	0.359
RESPONSE TO ACID CHEMICAL%GOBP%GO:0001101	105	47	0.36
IL3%NETPATH%IL3	82	37	0.36
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS%GOBP%GO:1902850	82	37	0.36
BIOCARTA_BCELLSURVIVAL_PATHWAY%MSIGDB_C2%BIOCARTA_BCELLSURVIVAL_PATHWAY	16	8	0.361
BIOCARTA_IL10_PATHWAY%MSIGDB_C2%BIOCARTA_IL10_PATHWAY	16	8	0.361
BIOCARTA_ERK5_PATHWAY%MSIGDB_C2%BIOCARTA_ERK5_PATHWAY	16	8	0.361
BIOCARTA_P53_PATHWAY%MSIGDB_C2%BIOCARTA_P53_PATHWAY	16	8	0.361
E2F MEDIATED REGULATION OF DNA REPLICATION%REACTOME%R-HSA-113510.3	16	8	0.361
G1 S-SPECIFIC TRANSCRIPTION%REACTOME DATABASE ID RELEASE 65%69205	16	8	0.361
G BETA:GAMMA SIGNALLING THROUGH PLC BETA%REACTOME DATABASE ID RELEASE 65%418217	16	8	0.361
SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 65%1839117	16	8	0.361
ACTIVATION OF E2F1 TARGET GENES AT G1 S%REACTOME DATABASE ID RELEASE 65%539107	16	8	0.361
TGF-BETA RECEPTOR SIGNALING IN EMT (EPITHELIAL TO MESENCHYMAL TRANSITION)%REACTOME DATABASE ID RELEASE 65%2173791	16	8	0.361
SIGNALLING TO RAS%REACTOME%R-HSA-167044.4	16	8	0.361
TIE2 SIGNALING%REACTOME DATABASE ID RELEASE 65%210993	16	8	0.361
CRMPS IN SEMA3A SIGNALING%REACTOME%R-HSA-399956.1	16	8	0.361
REGULATION OF LYMPHOCYTE CHEMOTAXIS%GOBP%GO:1901623	16	8	0.361
DENDRITIC CELL DIFFERENTIATION%GOBP%GO:0097028	16	8	0.361
NEGATIVE REGULATION OF CYTOKINE BIOSYNTHETIC PROCESS%GOBP%GO:0042036	16	8	0.361
DNA DUPLEX UNWINDING%GOBP%GO:0032508	16	8	0.361
ESTABLISHMENT OF PIGMENT GRANULE LOCALIZATION%GOBP%GO:0051905	16	8	0.361
RUFFLE ORGANIZATION%GOBP%GO:0031529	16	8	0.361
POSITIVE REGULATION OF ANION TRANSPORT%GOBP%GO:1903793	16	8	0.361
POSITIVE REGULATION OF ACTIN CYTOSKELETON REORGANIZATION%GOBP%GO:2000251	16	8	0.361
CHROMOSOME SEPARATION%GOBP%GO:0051304	16	8	0.361
NEGATIVE REGULATION OF RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:1901032	16	8	0.361
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND%GOBP%GO:1901099	16	8	0.361
T CELL MEDIATED IMMUNITY%GOBP%GO:0002456	16	8	0.361
PURINE RIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009154	16	8	0.361
ESTABLISHMENT OF MELANOSOME LOCALIZATION%GOBP%GO:0032401	16	8	0.361
BONE MINERALIZATION%GOBP%GO:0030282	16	8	0.361
NEGATIVE REGULATION OF CELLULAR RESPONSE TO DRUG%GOBP%GO:2001039	16	8	0.361
POSITIVE REGULATION OF TELOMERE CAPPING%GOBP%GO:1904355	16	8	0.361
POSITIVE REGULATION OF HEART GROWTH%GOBP%GO:0060421	16	8	0.361
METALLO-SULFUR CLUSTER ASSEMBLY%GOBP%GO:0031163	16	8	0.361
POSITIVE REGULATION OF T CELL CYTOKINE PRODUCTION%GOBP%GO:0002726	16	8	0.361
NEGATIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND%GOBP%GO:2001240	16	8	0.361
POSITIVE REGULATION OF ORGAN GROWTH%GOBP%GO:0046622	16	8	0.361
RESPONSE TO GROWTH HORMONE%GOBP%GO:0060416	16	8	0.361
ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030041	16	8	0.361
MEMBRANE REPOLARIZATION%GOBP%GO:0086009	16	8	0.361
NEGATIVE REGULATION OF CELL CYCLE ARREST%GOBP%GO:0071157	16	8	0.361
FOCAL ADHESION ASSEMBLY%GOBP%GO:0048041	16	8	0.361
CELL-SUBSTRATE ADHERENS JUNCTION ASSEMBLY%GOBP%GO:0007045	16	8	0.361
AUTONOMIC NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0048483	16	8	0.361
IRON-SULFUR CLUSTER ASSEMBLY%GOBP%GO:0016226	16	8	0.361
NEGATIVE REGULATION OF HYDROGEN PEROXIDE-INDUCED CELL DEATH%GOBP%GO:1903206	16	8	0.361
NEGATIVE REGULATION OF BLOOD CIRCULATION%GOBP%GO:1903523	16	8	0.361
PROTEIN INSERTION INTO MEMBRANE%GOBP%GO:0051205	16	8	0.361
MITOTIC SPINDLE ORGANIZATION%GOBP%GO:0007052	66	30	0.362
REGULATION OF DNA RECOMBINATION%GOBP%GO:0000018	50	23	0.362
REGULATION OF BLOOD VESSEL SIZE%GOBP%GO:0050880	50	23	0.362
REGULATION OF TUBE SIZE%GOBP%GO:0035150	50	23	0.362
BIOCARTA_EDG1_PATHWAY%MSIGDB_C2%BIOCARTA_EDG1_PATHWAY	25	12	0.362
PID_IL3_PATHWAY%MSIGDB_C2%PID_IL3_PATHWAY	25	12	0.362
PID_IL23_PATHWAY%MSIGDB_C2%PID_IL23_PATHWAY	25	12	0.362
IL23-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL23-MEDIATED SIGNALING EVENTS	25	12	0.362
EPHRIN B REVERSE SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHRIN B REVERSE SIGNALING	25	12	0.362
VOLTAGE GATED POTASSIUM CHANNELS%REACTOME DATABASE ID RELEASE 65%1296072	25	12	0.362
DAP12 SIGNALING%REACTOME DATABASE ID RELEASE 65%2424491	25	12	0.362
DNA GEOMETRIC CHANGE%GOBP%GO:0032392	25	12	0.362
CELLULAR RESPONSE TO AMYLOID-BETA%GOBP%GO:1904646	25	12	0.362
CELLULAR RESPONSE TO AMMONIUM ION%GOBP%GO:0071242	25	12	0.362
PYRIMIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072528	25	12	0.362
NEGATIVE REGULATION OF HORMONE SECRETION%GOBP%GO:0046888	25	12	0.362
POSITIVE REGULATION OF LYMPHOCYTE MIGRATION%GOBP%GO:2000403	25	12	0.362
COLUMNAR/CUBOIDAL EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0002065	25	12	0.362
LAMELLIPODIUM ORGANIZATION%GOBP%GO:0097581	25	12	0.362
REGULATION OF MAST CELL ACTIVATION%GOBP%GO:0033003	25	12	0.362
TRNA SPLICING%HUMANCYC%PWY-6689	5	3	0.363
GLUTARYL-COA DEGRADATION%HUMANCYC%PWY-5177	5	3	0.363
PENTOSE PHOSPHATE PATHWAY (NON-OXIDATIVE BRANCH)%HUMANCYC%NONOXIPENT-PWY	5	3	0.363
LEUKOTRIENE BIOSYNTHESIS%HUMANCYC%15354	5	3	0.363
ANDROGEN ESTROGENE PROGESTERONE BIOSYNTHESIS%PANTHER PATHWAY%P02727	5	3	0.363
MRNA SPLICING%PANTHER PATHWAY%P00058	5	3	0.363
VITAMIN D METABOLISM AND PATHWAY%PANTHER PATHWAY%P04396	5	3	0.363
DEFECTIVE CHST6 CAUSES MCDC1%REACTOME%R-HSA-3656225.1	5	3	0.363
FGFR3C LIGAND BINDING AND ACTIVATION%REACTOME DATABASE ID RELEASE 65%190372	5	3	0.363
ACTIVATED NTRK2 SIGNALS THROUGH FYN%REACTOME%R-HSA-9032500.1	5	3	0.363
SMALL INTERFERING RNA (SIRNA) BIOGENESIS%REACTOME%R-HSA-426486.4	5	3	0.363
ROLE OF SECOND MESSENGERS IN NETRIN-1 SIGNALING%REACTOME%R-HSA-418890.1	5	3	0.363
PTK6 EXPRESSION%REACTOME DATABASE ID RELEASE 65%8849473	5	3	0.363
LIGAND-RECEPTOR INTERACTIONS%REACTOME DATABASE ID RELEASE 65%5632681	5	3	0.363
ADRENOCEPTORS%REACTOME DATABASE ID RELEASE 65%390696	5	3	0.363
RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF KERATINOCYTES%REACTOME%R-HSA-8939242.1	5	3	0.363
DEFECTIVE ST3GAL3 CAUSES MCT12 AND EIEE15%REACTOME%R-HSA-3656243.1	5	3	0.363
BETA DEFENSINS%REACTOME DATABASE ID RELEASE 65%1461957	5	3	0.363
FORMATION OF XYLULOSE-5-PHOSPHATE%REACTOME%R-HSA-5661270.2	5	3	0.363
FGFR3 LIGAND BINDING AND ACTIVATION%REACTOME DATABASE ID RELEASE 65%190239	5	3	0.363
RUNX3 REGULATES IMMUNE RESPONSE AND CELL MIGRATION%REACTOME DATABASE ID RELEASE 65%8949275	5	3	0.363
SYNTHESIS OF EPOXY (EET) AND DIHYDROXYEICOSATRIENOIC ACIDS (DHET)%REACTOME DATABASE ID RELEASE 65%2142670	5	3	0.363
SMAD2 3 PHOSPHORYLATION MOTIF MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 65%3304356	5	3	0.363
METABOLIC DISORDERS OF BIOLOGICAL OXIDATION ENZYMES%REACTOME%R-HSA-5579029.2	5	3	0.363
DEFECTIVE B4GALT1 CAUSES B4GALT1-CDG (CDG-2D)%REACTOME%R-HSA-3656244.2	5	3	0.363
PROTON-COUPLED MONOCARBOXYLATE TRANSPORT%REACTOME%R-HSA-433692.2	5	3	0.363
N-GLYCAN TRIMMING AND ELONGATION IN THE CIS-GOLGI%REACTOME DATABASE ID RELEASE 65%964739	5	3	0.363
G2 M DNA REPLICATION CHECKPOINT%REACTOME DATABASE ID RELEASE 65%69478	5	3	0.363
CATION-COUPLED CHLORIDE COTRANSPORTERS%REACTOME DATABASE ID RELEASE 65%426117	5	3	0.363
BETA OXIDATION OF OCTANOYL-COA TO HEXANOYL-COA%REACTOME DATABASE ID RELEASE 65%77348	5	3	0.363
LEFT/RIGHT AXIS SPECIFICATION%GOBP%GO:0070986	5	3	0.363
ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0019885	5	3	0.363
NEGATIVE REGULATION OF PLASMINOGEN ACTIVATION%GOBP%GO:0010757	5	3	0.363
ASPARAGINE METABOLIC PROCESS%GOBP%GO:0006528	5	3	0.363
MIDDLE EAR MORPHOGENESIS%GOBP%GO:0042474	5	3	0.363
POSITIVE REGULATION OF NLRP3 INFLAMMASOME COMPLEX ASSEMBLY%GOBP%GO:1900227	5	3	0.363
POSITIVE REGULATION OF CAMP-DEPENDENT PROTEIN KINASE ACTIVITY%GOBP%GO:2000481	5	3	0.363
MRNA PSEUDOURIDINE SYNTHESIS%GOBP%GO:1990481	5	3	0.363
RESPONSE TO LIPOTEICHOIC ACID%GOBP%GO:0070391	5	3	0.363
GLIAL CELL PROLIFERATION%GOBP%GO:0014009	5	3	0.363
MRNA 3'-END PROCESSING BY STEM-LOOP BINDING AND CLEAVAGE%GOBP%GO:0006398	5	3	0.363
POSITIVE REGULATION OF T-HELPER 1 CELL CYTOKINE PRODUCTION%GOBP%GO:2000556	5	3	0.363
REGULATION OF ALDOSTERONE BIOSYNTHETIC PROCESS%GOBP%GO:0032347	5	3	0.363
CYTOKINE BIOSYNTHETIC PROCESS%GOBP%GO:0042089	5	3	0.363
INTESTINAL CHOLESTEROL ABSORPTION%GOBP%GO:0030299	5	3	0.363
NEGATIVE REGULATION OF INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060336	5	3	0.363
REGULATION OF EXCRETION%GOBP%GO:0044062	5	3	0.363
REGULATION OF HEART INDUCTION%GOBP%GO:0090381	5	3	0.363
REGULATION OF MEMBRANE INVAGINATION%GOBP%GO:1905153	5	3	0.363
POSITIVE REGULATION OF VASCULAR SMOOTH MUSCLE CELL DIFFERENTIATION%GOBP%GO:1905065	5	3	0.363
SYNCYTIUM FORMATION%GOBP%GO:0006949	5	3	0.363
NEGATIVE REGULATION OF MYOSIN-LIGHT-CHAIN-PHOSPHATASE ACTIVITY%GOBP%GO:0035509	5	3	0.363
CONTACT INHIBITION%GOBP%GO:0060242	5	3	0.363
POSITIVE REGULATION OF AXON GUIDANCE%GOBP%GO:1902669	5	3	0.363
DOUBLE-STRAND BREAK REPAIR VIA BREAK-INDUCED REPLICATION%GOBP%GO:0000727	5	3	0.363
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION INVOLVED IN ENDOCARDIAL CUSHION FORMATION%GOBP%GO:1905007	5	3	0.363
EMBRYONIC HINDLIMB MORPHOGENESIS%GOBP%GO:0035116	5	3	0.363
TRNA TRANSPORT%GOBP%GO:0051031	5	3	0.363
NEGATIVE REGULATION OF T CELL CYTOKINE PRODUCTION%GOBP%GO:0002725	5	3	0.363
CRANIOFACIAL SUTURE MORPHOGENESIS%GOBP%GO:0097094	5	3	0.363
